date,Bakso Goreng,Mie Ayam,Bakso Keju,is_holiday
1573848729,615,322,335,1
1574865860,599,332,346,0
1571275493,593,351,347,0
1574852084,582,332,322,0
1568184380,601,338,342,0
1571757431,624,324,325,1
1575050263,575,342,319,0
1573593259,605,335,346,0
1574627173,566,350,318,0
1567349832,577,373,341,0
1573645638,559,326,329,0
1568942807,563,339,313,0
1569637139,562,335,363,0
1567910498,621,360,340,0
1570503189,587,344,377,0
1570584514,577,368,346,1
1572931390,620,324,325,1
1570495579,581,356,346,0
1574372868,585,319,327,1
1574625636,572,380,280,0
1571418994,596,361,322,1
1572338992,602,338,307,0
1571470200,496,349,323,1
1569134799,597,372,311,1
1574629390,579,379,360,1
1570227473,624,341,321,0
1574165717,557,356,335,0
1569637390,618,337,333,0
1567963787,598,321,319,1
1570687230,623,336,324,0
1568696361,552,365,337,0
1569724163,545,373,322,0
1570267932,541,362,327,0
1567979445,629,372,330,1
1573122875,572,366,312,0
1569312938,595,339,330,0
1572326616,599,358,312,0
1567396717,600,338,328,0
1567748840,530,332,363,0
1568962528,599,326,332,0
1574016817,580,354,318,0
1569954705,569,345,350,0
1572569057,596,330,318,1
1571565259,565,346,338,0
1569529002,658,352,313,0
1572545425,596,336,339,1
1572719092,586,350,334,0
1571197835,630,372,373,0
1568813770,597,357,356,0
1567400579,578,335,369,0
1573391325,552,368,333,1
1572244252,570,348,344,0
1568550195,612,345,347,0
1567684404,586,320,299,0
1568869971,577,328,361,1
1575030698,614,375,356,0
1569357361,583,311,361,0
1572994497,563,332,366,0
1574469600,554,319,355,0
1569663946,630,331,312,0
1572080050,565,340,315,0
1570055965,608,314,313,1
1567663018,584,356,334,0
1571954767,589,312,294,0
1573381193,568,339,326,0
1571329117,615,323,331,1
1569299421,574,342,373,0
1569479198,600,386,307,0
1572515486,612,313,311,0
1569517409,585,324,332,1
1573112256,613,347,313,0
1575027726,563,359,336,0
1570149596,596,381,346,0
1569436600,563,351,299,0
1575066965,588,349,348,0
1569863248,585,333,343,0
1569371045,589,370,359,0
1571440432,542,370,298,0
1568240744,592,334,334,1
1567541239,579,368,316,0
1568241484,602,337,370,0
1574754235,598,327,335,0
1571717287,626,300,327,0
1574545023,594,371,356,0
1574834098,616,345,332,1
1568986875,609,316,331,0
1571736192,562,385,335,1
1571443832,580,360,323,0
1570315302,617,338,337,0
1568250015,631,349,373,1
1574635145,562,346,328,0
1569226206,617,309,352,0
1573728492,610,352,358,0
1573964247,582,353,310,0
1570102368,570,367,322,1
1570031502,634,329,330,1
1574906545,543,376,297,0
1573325606,569,296,325,0
1570870483,563,346,322,0
1568717056,615,353,332,0
1569842993,584,366,306,0
1571988310,604,355,331,0
1573290098,595,362,329,0
1568173128,572,343,312,0
1575088778,592,317,350,1
1571412761,594,330,343,0
1573855177,600,312,373,0
1574109126,599,332,337,0
1568742391,559,317,348,0
1568186557,551,322,327,1
1569255083,635,315,327,0
1571122865,608,341,320,0
1569702676,569,360,332,0
1568964249,593,361,346,0
1568462544,562,345,351,0
1568804695,573,293,330,1
1573731184,584,364,334,0
1569217463,574,335,321,0
1574467686,561,331,316,0
1572463897,589,337,348,0
1567958530,614,347,318,0
1569764318,600,350,311,0
1571953311,565,351,333,1
1567675493,589,348,312,0
1574910185,612,334,336,0
1571987222,548,336,333,0
1572973133,594,310,315,0
1569811259,562,334,331,0
1569439599,622,332,327,0
1568807273,575,350,332,1
1570862458,612,331,320,0
1571512334,585,319,321,0
1569299787,570,334,335,0
1568689219,548,347,339,0
1569121047,583,345,325,0
1569741836,597,323,345,0
1572059282,604,327,298,0
1567941879,584,328,333,0
1573734115,552,356,318,1
1570002354,626,366,350,0
1569754040,596,307,332,0
1574427680,582,339,330,0
1571545483,573,327,335,0
1572371418,608,344,297,0
1572802496,613,352,347,0
1570888058,567,354,335,0
1573413635,587,340,327,0
1569157747,603,356,337,0
1569965815,536,335,347,0
1572611975,574,354,348,0
1571866980,567,331,343,1
1573820146,584,320,338,0
1570931981,587,334,305,0
1569944474,581,367,347,0
1569608713,580,317,318,0
1571639108,603,387,308,0
1574414620,639,331,313,0
1572099722,578,353,343,0
1570544268,554,358,339,0
1569039391,537,355,322,0
1574723833,615,333,292,0
1573350839,594,331,300,0
1570076719,582,357,313,0
1569870033,523,333,310,0
1574719747,625,361,311,0
1574486157,548,346,317,0
1573667642,585,325,286,1
1572684242,587,329,318,1
1567853033,560,340,330,0
1573872592,615,355,355,1
1574716159,624,318,353,1
1569207488,616,312,343,0
1570579420,647,311,332,0
1573340208,582,322,333,0
1571314551,609,345,312,0
1570034855,562,325,338,0
1571809482,581,352,339,1
1573463043,577,340,321,0
1568345871,541,339,354,0
1571712200,593,308,313,0
1572219845,593,354,343,0
1569189319,544,363,329,1
1574819011,602,373,345,0
1574979908,586,339,323,0
1574814819,560,335,350,0
1568495040,587,348,339,0
1572058861,586,303,361,0
1572626684,568,345,347,0
1574490886,607,364,309,0
1570085356,632,320,320,1
1569406373,600,331,336,0
1572062042,582,383,337,0
1568742712,588,382,312,0
1572388715,571,329,323,0
1567518237,604,312,332,0
1568189414,576,349,340,0
1571726398,560,350,337,0
1572105842,622,319,339,0
1568332728,585,345,361,0
1571842859,626,302,338,1
1572438699,576,340,344,0
1574589448,619,359,315,0
1567511599,551,336,288,0
1567921241,584,372,339,0
1567534376,602,346,357,0
1572093952,548,346,331,0
1568517273,558,331,313,1
1570791793,595,365,340,0
1568667479,576,369,344,0
1567799768,594,307,351,0
1570551918,617,347,369,1
1568039017,553,344,365,0
1572788133,600,348,310,0
1571678924,591,328,313,0
1568071990,548,346,348,0
1570793061,595,320,332,1
1567488446,572,347,310,0
1571065623,616,337,308,0
1569949286,610,359,334,0
1574388821,558,395,304,0
1573472489,598,329,322,0
1574622760,597,337,332,0
1569027951,592,366,362,1
1569527089,551,333,308,0
1571098123,622,373,314,0
1575149556,583,355,305,0
1569798201,629,346,336,0
1567778472,529,317,376,0
1572124553,574,350,354,0
1567585493,583,330,319,1
1568086501,601,356,324,1
1571252241,612,364,340,0
1572721609,567,322,310,0
1568291006,627,339,344,0
1571747802,584,365,343,1
1572022779,574,365,336,0
1571748522,610,334,334,0
1571573200,574,331,325,0
1572085907,589,358,354,0
1572617255,611,330,334,0
1573048155,595,360,312,0
1573192259,584,356,323,0
1567369562,565,348,328,0
1568526905,586,333,327,0
1568096773,615,333,352,0
1569332726,568,357,297,0
1568246191,546,366,311,0
1573725075,599,365,334,0
1570708858,558,377,319,0
1568682005,566,341,282,0
1574644214,600,312,309,0
1567914239,624,313,332,0
1573365021,571,354,324,0
1574620611,598,334,338,0
1569402916,580,337,325,0
1572792726,596,347,325,0
1567982200,639,355,321,0
1570415613,596,366,337,1
1572780762,618,339,338,0
1567437083,584,358,328,0
1572191166,637,334,284,1
1569561525,564,324,320,0
1568681591,609,370,350,0
1571193027,572,330,332,0
1568794182,604,347,331,0
1570979221,595,352,344,0
1569923235,575,374,354,0
1572366073,580,354,325,0
1569185874,571,347,299,0
1574293567,560,325,348,1
1571248054,565,319,312,0
1572763021,597,335,338,0
1572152770,571,373,325,0
1572668384,594,336,358,0
1571717190,586,335,319,1
1569102605,568,334,325,0
1568031573,587,356,309,0
1568485749,605,327,338,0
1568195792,588,378,367,0
1568454027,592,322,319,0
1571990741,555,324,351,0
1575126946,598,328,351,0
1569861035,616,378,352,1
1572208135,601,335,334,1
1574817508,589,340,307,1
1568312428,619,370,311,0
1573821553,594,336,334,0
1574893209,563,345,326,0
1571088242,581,339,338,0
1574646929,590,354,326,0
1573914372,603,360,325,0
1573816369,554,346,322,0
1567776793,547,357,326,0
1574142067,573,317,324,0
1570722771,590,329,298,0
1573530141,587,322,340,1
1569534064,593,343,339,0
1570132217,544,307,329,0
1574951303,613,393,347,0
1574257772,576,345,363,1
1569033658,599,338,343,0
1568623929,595,359,354,0
1573780271,597,351,338,1
1574854940,551,342,310,0
1574900928,575,320,319,0
1571799069,602,307,324,0
1573363325,575,387,308,0
1571282884,621,328,353,0
1571269215,604,374,310,0
1574140222,606,377,340,0
1569275990,565,318,315,0
1574105653,570,330,370,0
1567891580,622,337,346,0
1567726519,583,360,317,0
1569275978,600,319,349,0
1569481218,599,360,326,0
1574513160,616,350,355,0
1569343594,567,337,277,0
1568570541,593,330,332,0
1569343301,588,366,378,0
1572463586,648,366,342,0
1572152033,593,365,308,0
1568253388,612,349,339,1
1572497822,598,365,364,0
1571976074,588,352,323,1
1573611387,534,327,342,0
1569688058,605,368,368,0
1571486609,604,307,335,0
1567314423,584,354,355,0
1570984447,602,331,328,0
1570588313,616,347,330,0
1571375381,617,351,319,0
1572879035,560,346,344,0
1568076289,571,367,329,0
1573928130,581,323,332,0
1573771657,576,350,328,0
1572950868,597,376,339,0
1570625451,558,351,323,0
1570111643,613,346,319,1
1567536212,593,336,338,0
1570251924,565,336,339,0
1572978397,549,339,352,0
1569757203,562,325,321,1
1571021215,550,350,359,0
1569791549,603,329,350,1
1569162472,660,341,329,0
1573992809,578,358,348,0
1574558445,559,331,333,0
1572397116,599,325,344,0
1572504141,608,382,359,1
1570990043,611,313,303,0
1568011297,598,348,332,1
1574307349,612,361,313,0
1574978014,571,332,321,1
1574029943,642,348,321,0
1574848133,601,350,294,0
1571355800,577,363,331,0
1572855919,581,355,310,0
1567611700,580,344,305,1
1571915538,584,358,335,0
1574808788,588,340,331,0
1571380694,600,322,353,1
1568624384,594,361,307,0
1574149495,574,325,318,0
1569098864,591,357,329,0
1568115009,570,369,364,1
1573052309,598,366,302,0
1572746113,565,295,337,1
1572975182,580,333,363,0
1575086032,588,318,343,0
1570710081,596,337,316,0
1568481747,552,357,314,0
1570486655,634,343,346,0
1569325025,610,318,322,1
1567838794,603,355,343,0
1568765402,561,323,341,0
1569248702,586,342,333,1
1573307506,609,348,284,1
1574885594,615,326,301,0
1570562086,616,358,318,0
1571979712,582,357,354,0
1569349120,600,344,358,1
1567824348,535,343,320,1
1571550627,566,357,320,1
1571651865,624,339,331,0
1570325471,612,342,322,0
1573330590,590,357,336,0
1574752645,587,332,312,0
1568103852,604,361,350,0
1567673819,628,347,358,0
1568308321,609,374,358,0
1573544824,639,340,318,0
1571073328,597,355,336,0
1574583660,570,378,308,0
1573355432,581,357,366,0
1574955458,607,352,335,0
1570119177,590,358,337,0
1568584860,541,320,336,0
1570616899,623,363,331,0
1569840456,555,378,324,1
1572107416,571,346,369,0
1567802812,578,373,330,0
1568760122,589,393,317,1
1574547429,588,328,311,0
1568187258,584,360,305,1
1570134317,555,330,334,0
1573979462,590,348,326,1
1574304841,583,352,324,0
1567977343,579,353,328,1
1575106166,562,351,329,0
1571820815,569,336,343,1
1569175294,621,354,333,0
1573375362,559,318,306,1
1572695375,625,361,323,0
1573421598,576,363,358,0
1570051373,596,383,324,0
1568751137,581,356,328,0
1567518330,611,323,320,0
1572398594,609,371,309,0
1572933313,578,328,347,0
1570684721,605,351,314,1
1573919477,566,336,311,1
1570967232,598,350,325,0
1570199477,621,327,327,0
1569571180,597,337,328,0
1568840689,555,324,355,1
1570996132,612,327,349,0
1570667921,590,350,349,0
1572169981,592,349,315,0
1568996683,607,338,349,1
1574491925,601,343,389,0
1567323592,558,313,332,0
1574234655,593,351,328,0
1568022722,623,356,351,0
1570770000,555,361,315,1
1571322874,561,327,321,0
1568125341,598,345,330,0
1571788431,602,328,320,0
1575091648,539,350,321,0
1571217462,552,347,351,0
1569420458,591,360,358,0
1574227775,627,354,332,0
1568893734,544,360,327,1
1567900940,556,336,360,0
1569279052,604,304,324,0
1572161467,605,361,332,0
1572423562,606,305,338,0
1572395151,590,362,336,0
1569081291,538,340,371,0
1574398193,581,369,336,0
1572720533,597,356,345,0
1568325312,546,337,323,1
1568416957,583,315,338,0
1573373828,569,353,342,0
1574872469,613,356,289,1
1572242132,574,360,322,0
1568920959,581,334,336,0
1572095931,627,344,326,1
1568757123,629,362,320,0
1571721653,553,359,342,0
1573532132,610,334,342,1
1572697854,614,322,343,0
1568738883,607,333,359,0
1575065735,609,310,349,0
1571222685,602,357,335,0
1571073554,554,334,365,1
1569691298,581,314,326,0
1571718277,613,339,305,0
1572090154,559,308,344,0
1570961286,580,312,329,1
1570667573,556,329,319,0
1571982887,582,345,346,1
1572897393,535,329,338,0
1573595986,592,343,333,0
1568643911,551,360,328,0
1574937347,634,347,335,0
1574555062,559,331,352,0
1572244335,584,339,315,0
1568367481,579,331,341,0
1573241523,611,343,344,0
1568436738,638,368,342,0
1568794131,593,320,338,0
1570712802,583,352,352,0
1568756438,592,328,321,0
1569174346,557,334,352,1
1568969538,582,334,323,0
1573085525,616,364,344,0
1571882564,594,340,307,0
1571889195,589,334,332,0
1569393960,564,325,348,1
1573674784,563,324,323,0
1574245634,568,343,320,1
1574377013,530,336,345,0
1574502983,565,364,340,0
1569265426,616,354,351,0
1571819302,580,334,368,0
1573911402,626,322,345,1
1574117171,601,355,345,0
1571117534,588,329,329,0
1574446778,584,333,343,0
1569362990,584,336,348,0
1570829280,574,337,331,0
1573118050,572,349,328,0
1575039651,625,354,337,0
1571789367,601,312,303,0
1567690072,586,356,338,1
1572617625,588,344,365,0
1573347034,577,352,341,0
1572310859,578,359,321,0
1569527816,600,359,323,0
1574254337,629,341,331,0
1569476555,624,365,317,1
1570226350,578,349,343,0
1569943773,609,343,340,0
1574318081,597,387,342,0
1574214370,572,334,368,0
1573618066,582,364,310,0
1570715764,569,369,319,1
1572398928,570,342,325,1
1567926191,597,340,322,0
1572430216,563,339,356,0
1568007453,588,306,338,0
1569768129,554,323,319,1
1569111274,577,321,332,0
1574272268,595,351,323,0
1573390926,592,310,341,1
1568889769,584,349,355,0
1573114808,611,324,345,1
1570073017,587,318,295,0
1570824936,615,345,308,0
1574342223,587,335,312,1
1569146709,576,340,335,0
1570702364,573,382,308,0
1574735105,571,335,327,0
1573939326,551,323,348,0
1569448425,640,327,332,0
1573124600,574,325,353,0
1573890282,590,347,365,0
1571137197,611,372,311,0
1568207949,581,353,301,1
1572679279,575,310,331,1
1568810233,568,351,319,0
1567891305,632,321,323,0
1568120838,559,382,348,0
1574094100,592,352,318,0
1571871335,623,352,319,0
1571241545,608,338,304,0
1574667219,570,358,341,0
1572788338,573,354,283,0
1572753654,565,361,366,0
1572338825,577,344,326,1
1573450557,585,384,300,0
1572263866,567,358,297,1
1569904331,621,336,324,0
1571534835,616,360,385,0
1574118715,563,339,319,0
1574412501,588,311,338,0
1573029481,590,338,348,0
1575113389,570,357,362,0
1572254370,563,341,332,0
1570898679,567,340,327,0
1568999809,573,349,357,1
1572118357,598,345,353,0
1571794313,600,308,332,0
1570721731,605,351,334,0
1572755577,605,340,328,0
1575069765,573,347,326,0
1574013156,580,327,335,0
1569424821,606,353,324,1
1569166885,639,362,343,0
1568911894,596,329,312,0
1569292431,606,360,311,1
1568788721,601,349,330,1
1569444409,578,388,340,1
1573847357,596,336,299,0
1569702959,554,318,366,0
1573104581,624,312,340,0
1573903831,587,355,363,0
1574488181,616,320,307,0
1570788800,558,349,336,0
1568869922,606,344,360,1
1569339222,595,331,321,0
1570169918,609,345,364,0
1572055564,595,344,307,0
1570053054,613,326,370,0
1571289363,544,341,358,0
1573651767,594,369,328,1
1574147662,576,303,351,0
1570406448,623,315,356,0
1574528831,558,401,355,0
1569191621,595,393,347,1
1568203068,590,310,348,0
1575001504,587,334,327,1
1574565049,601,350,296,0
1573741816,610,345,326,0
1574912566,576,319,342,0
1574927188,549,321,339,1
1571129786,546,362,336,0
1572919451,582,367,341,0
1567732023,601,334,337,0
1574341076,585,319,342,0
1570982234,616,339,343,0
1570503952,563,364,335,0
1570787544,582,349,317,0
1572491034,620,348,347,0
1569603735,575,380,377,0
1572759861,607,334,344,0
1572725466,566,362,358,1
1573874774,563,340,335,0
1570599229,575,370,336,0
1571724364,549,364,342,0
1574596263,581,340,294,0
1572306416,594,363,331,0
1572213094,563,344,335,0
1574019935,569,346,358,0
1572427223,603,356,337,0
1572690780,588,370,365,0
1572715580,570,337,324,0
1574451427,561,331,342,0
1568464299,567,353,302,0
1568538527,584,387,327,1
1575129156,600,346,329,1
1569434469,601,350,349,0
1573130353,575,339,349,0
1571027142,633,352,312,1
1567839707,580,341,327,0
1573151348,585,322,350,0
1570701776,600,364,374,0
1570136730,566,324,321,0
1571942748,595,356,291,0
1571534326,531,343,348,1
1570122389,592,342,300,0
1573187072,604,342,364,0
1574146572,549,320,318,1
1572063455,608,322,326,0
1568842537,605,320,355,1
1574269272,592,341,309,0
1568431090,605,314,354,1
1568484526,604,330,332,0
1575030389,588,344,308,0
1571275668,601,378,321,1
1573470828,607,367,337,1
1572553779,598,346,297,0
1573708758,608,327,317,1
1569608130,578,363,341,0
1574179997,557,363,356,0
1569715234,578,342,357,0
1570632602,557,338,327,0
1567960895,572,294,356,0
1573792022,563,341,353,0
1573478131,565,336,340,1
1570661386,633,346,355,1
1572380248,647,366,396,0
1570792693,582,351,357,0
1570356499,580,352,291,0
1571380112,624,345,343,0
1574166296,605,348,363,0
1569080482,570,341,311,1
1573259810,581,370,318,0
1573575022,554,372,336,0
1573953125,584,328,311,0
1571118189,589,379,333,1
1568439213,591,343,342,1
1568491634,612,350,341,0
1573518896,622,373,350,0
1570903540,591,320,339,1
1572570795,587,319,311,0
1574763520,580,321,315,1
1568043805,576,365,357,0
1574065236,578,347,341,0
1568756043,593,338,379,0
1567421950,611,364,307,0
1573945189,619,321,314,0
1569873725,568,350,308,0
1569024045,615,345,330,0
1569142754,630,345,327,0
1573897145,581,328,310,0
1574930964,569,349,317,1
1572997639,653,351,301,0
1568815147,560,362,287,1
1571289758,583,326,288,0
1569015991,597,331,361,0
1572885825,554,350,298,0
1574122602,575,344,331,0
1567970820,594,315,341,1
1571240481,590,319,309,0
1572498171,602,343,314,0
1569013254,591,323,342,0
1571486751,532,314,306,1
1568741691,590,323,361,1
1569749110,590,342,317,0
1573384088,575,330,311,1
1572507164,665,348,329,1
1573470424,586,312,341,0
1569004333,594,331,325,0
1567310460,547,369,323,0
1572643476,617,313,358,0
1570539940,585,347,347,1
1567640663,628,344,281,1
1573634290,585,336,352,0
1568548931,566,340,314,0
1572085139,630,338,345,0
1569689728,568,353,326,0
1567304183,590,350,307,1
1573833824,594,362,304,0
1571006789,640,345,314,0
1569635216,595,340,346,0
1574747269,598,392,323,0
1575039560,594,331,350,0
1572603696,554,350,298,0
1567587172,578,328,320,0
1567997348,544,382,280,0
1572895908,607,331,306,1
1568774775,570,347,307,0
1567393897,616,346,309,0
1569397498,577,357,325,1
1569051635,568,328,310,0
1574243867,627,337,301,0
1567479969,625,335,318,1
1572135060,596,377,303,0
1568556906,588,388,327,0
1571865435,631,363,359,0
1574551311,586,372,353,0
1571422025,547,322,304,1
1567821258,604,377,318,0
1568066735,617,385,331,0
1573583861,586,345,327,0
1571556114,611,317,318,0
1574751173,592,314,339,0
1570693440,592,345,324,0
1567802191,574,350,327,0
1574205977,598,331,339,1
1575127510,617,351,322,0
1573538313,602,349,354,1
1571257968,600,338,291,1
1571129150,571,349,317,0
1574936522,615,337,312,0
1569471998,613,324,291,0
1574864267,572,329,320,0
1570352030,618,343,338,0
1574297919,601,331,310,0
1569955642,577,335,330,0
1568037893,602,327,316,0
1569629036,596,337,329,0
1573497333,560,356,327,0
1574798849,567,325,326,0
1569483345,581,365,327,0
1567798677,584,331,315,0
1570571193,586,336,313,0
1568211703,557,352,355,0
1574661681,611,337,296,0
1572763719,584,340,342,0
1573216207,560,347,350,0
1571781706,575,361,367,0
1572328186,594,357,380,0
1574612898,606,326,307,0
1568677193,579,347,333,1
1568831198,573,338,352,0
1571788123,559,319,318,0
1573646052,525,330,349,0
1568685809,580,330,303,0
1572398193,595,360,345,0
1571698513,599,360,313,0
1571330223,587,341,355,0
1570065970,590,352,314,0
1571286598,596,333,335,0
1572996785,549,321,334,0
1570322622,622,332,312,0
1571346420,585,323,327,0
1572396976,597,337,357,1
1568128018,617,370,328,0
1568948386,615,355,308,0
1571802508,585,360,347,1
1570291822,562,341,338,0
1571472773,610,373,363,0
1573523612,622,328,327,1
1570521773,628,358,330,0
1571976901,590,363,320,0
1569474677,589,324,332,0
1572749646,579,338,351,0
1573952364,608,369,317,0
1568347374,536,356,313,0
1568658106,612,356,353,0
1571091029,586,359,327,0
1570054991,539,348,326,0
1569540892,607,340,320,1
1574455329,580,354,347,1
1574700450,568,361,327,0
1569497605,588,349,335,0
1571226978,603,348,332,0
1567564836,603,366,313,0
1574099578,580,321,341,0
1572967431,660,315,321,1
1571339961,589,346,303,0
1572617250,587,334,321,0
1568603131,540,343,369,0
1567662113,639,335,340,0
1573964915,550,357,327,0
1571956450,626,346,340,1
1567388052,569,337,298,1
1572321446,577,333,344,0
1571065284,579,317,311,0
1569504582,554,334,318,0
1571308419,637,346,350,0
1573817435,575,342,351,0
1570074011,583,311,355,0
1568474765,575,380,303,0
1570908281,597,331,325,0
1570570981,548,324,370,0
1574545811,547,344,339,0
1573213732,558,335,323,0
1571573157,599,368,297,1
1567755389,532,342,344,0
1569416215,568,377,329,0
1569132870,604,366,299,0
1574393785,609,322,324,0
1568970585,623,317,358,0
1568864190,577,356,339,1
1570255273,606,362,376,0
1572856771,585,336,340,0
1573850883,545,339,309,0
1573507185,542,323,319,0
1568106337,617,357,357,0
1571336159,639,371,325,0
1574831601,591,360,312,0
1574572927,589,335,337,0
1574843238,615,347,291,0
1572363712,606,356,353,0
1569754441,555,344,344,0
1570275434,568,348,327,0
1572277959,615,357,307,0
1573281242,628,345,377,0
1568475019,570,350,350,0
1568982720,597,344,303,0
1568955553,624,359,347,0
1573132191,588,340,353,0
1574114631,568,338,307,0
1572147759,571,338,331,0
1570798479,569,341,339,0
1574131831,577,373,338,1
1574318214,557,349,309,0
